asset_tag_id,description,purchased_from,purchase_date,brand,cost,model,serial_no,date_created,created_by,device_type,os,risk_category
O955,EPSON PROJECTOR LCD POWERLITE S1+,,2004-06-29,Epson,$999.00,POWERLITE S1+,FWDG483251F,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
4408,NIKON DIGITAL CAMERA COOLPIX 4600,,2005-11-29,Nikon,$128.00,COOLPIX 4600,31206593,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
4422,EMP-S3,,2006-01-06,EPSON,$761.99,EMP-S3,GM9G5Y9033F,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
4449,OLYMPUS DIGITAL CAMERA SP310,,2006-03-23,Olympus,$290.38,SP310,J33032652,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
4698,SMC USB WIRELESS NIC SMCWUSB-G,,2006-09-22,Smc,$44.16,SMCWUSB-G,T162500508,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
4719,HP PRINTER LASERJET LASERJET 1020,,2006-10-09,HP,$102.00,LASERJET 1020,D9TKP-T486P-39DDP-FQJHF-BYKGQ,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
5334,FUJI DIGITAL CAMERA FINEPIX A700,,2007-02-15,Fuji,$188.30,FINEPIX A700,6WA54763,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
6794,IN FOCUS PROJECTOR IN26+,,2007-07-27,In Focus,$849.00,IN26+,AUNC72000317,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7099,FUJITSU PC LAPTOP S7110,,2007-07-27,Fujitsu,"$1,819.00",S7110,R7813504,2024-09-28 17:39,Bryan Shepard,laptop,unknown,High Risk
7071,FUJITSU PC LAPTOP S7110,,2007-07-27,Fujitsu,"$1,819.00",S7110,R7813528,2024-09-28 17:39,Bryan Shepard,laptop,unknown,High Risk
7072,DISKGO USB FLASH AAA,,2007-11-16,Diskgo,$10.00,AAA,,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
7092,JGS524,,2017-01-08,NETGEAR,$223.99,JGS524,1LK17A5002D7,2024-09-28 17:39,Bryan Shepard,other,unknown,Medium Risk
